商品,进价 CNY,尺寸 cm 长宽高,重量 g,建议售价 俄罗斯卢布,平台佣金,银行收单费,国际物流费,尾城配送费（卢布）,平台回款,货币转换费,最终收款（卢布）,利润（卢布）,利润率
袜子,5,20*10*5,100,需要给出建议,￥0.12 ,0.4-1.9%,需要计算,2% （最低15卢布 最高200卢布）,,平台回款的1.2%（D-E-F-G-H) *1.2% ,,K列对应人民币 -B列,
手电,16.5,15*2*2,98,需要给出建议,￥0.12 ,0.4-1.9%,需要计算,2% （最低15卢布 最高200卢布）,,平台回款的1.2%（D-E-F-G-H) *1.2% ,,K列对应人民币 -B列,
以下为实际例子,,,,,,,,,,,,,
,212.957298,,,￥411.00 ,￥49.32 ,￥7.81 ,￥94.65 ,￥15.00 ,￥244.22 ,￥2.93 ,￥241.29 ,￥28.34 ,13.31%
,212.957298,,,￥750.00 ,￥90.00 ,￥14.25 ,￥94.65 ,￥15.00 ,￥536.10 ,￥6.43 ,￥529.67 ,￥316.71 ,148.72%
,212.957298,,,￥628.03 ,￥75.36 ,￥11.93 ,￥94.65 ,￥15.00 ,￥431.09 ,￥5.17 ,￥425.91 ,￥212.96 ,100.00%
,212.957298,,,￥402.72 ,￥48.33 ,￥7.65 ,￥94.65 ,￥15.00 ,￥237.09 ,￥2.85 ,￥234.25 ,￥21.29 ,10.00%
,,,,,,,,,,,,,
,,18,212.957298,,,,,,,,,,
汇率 卢布per cny,11.830961,,,,,,,,,,,,
,,,,,,,,,,,,,
注：,E、F、G、H、I 均为 售价的百分比,,,,,,,,,,,,
